id,specie_id,nome,generazione,descrizione,tipo1,tipo2,abilita_base,abilita_nascosta,altezza,peso,categoria,gruppo_uova1,gruppo_uova2,hpstat,atkstat,defstat,spatkstat,spdefstat,spdstat,immagine
15,15,Beedrill,1,"Ha tre velenose spine sulla coda e una più lunga sul suo braccio. Le spine sulla coda vengono estratte per avvelenare il nemico.",Coleottero,Veleno,Aiutinsetto,Cecchino,1.0,29.5,Velenape,Insetto,Non indicato,65,80,40,45,80,75,pokemon_15.png
16,16,Pidgey,1,"Quando si spaventa, solleva piccole polveri delle ali per confondere il nemico. È un Pokémon molto timido.",Normale,Volante,Sguardofermo,Pettinfuori,0.3,1.8,Uccellino,Volante,Volante,40,45,40,35,35,56,pokemon_16.png
17,17,Pidgeotto,1,"I suoi sensi sono affinati da volare molto velocemente attraverso la foresta. Ancora meglio inseguito da un nemico.",Normale,Volante,Sguardofermo,Pettinfuori,1.1,30.0,Uccellino,Volante,Volante,63,60,55,50,50,71,pokemon_17.png
18,18,Pidgeot,1,"Molto abile nel volo veloce. A volte trasporta piccoli Pokémon su di esso e li trasporta in aria.",Normale,Volante,Sguardofermo,Pettinfuori,1.5,39.5,Uccellone,Volante,Volante,83,80,75,70,70,101,pokemon_18.png
19,19,Rattata,1,"Vive in caverne oscure e fuggirà all'istante se la luce lo colpisce. È estremamente agile.",Normale,Fugafacile,Tuttafretta,Acciaio,0.3,3.5,Ratto,Campo,Ratto,30,56,35,25,35,72,pokemon_19.png
20,20,Raticate,1,"Le sue lunghe mustache gli conferiscono un senso dell'olfatto molto acuto. È molto particolare sulla scelta del cibo.",Normale,,Fugafacile,Acciaio,0.7,18.5,Topo,Campo,Ratto,55,81,60,50,70,97,pokemon_20.png
21,21,Spearow,1,"Di natura diffidente, quando si sente minacciato emette un suono acuto per tenere lontani i nemici.",Normale,Volante,Sguardofermo,Cecchino,0.3,2.0,Piccolo Uccello,Uccello,Volo,40,60,30,31,31,70,pokemon_21.png
22,22,Fearow,1,"Preferisce fare la sua casa in luoghi aperti perché non vuole essere limitato. Volerà fino all'alba se è libero.",Normale,Volante,Sguardofermo,Cecchino,1.2,38.0,Uccellone,Uccello,Volo,65,90,65,61,61,100,pokemon_22.png
23,23,Ekans,1,"La sua forma a spirale lo rende molto agile. Anche se lo colpisci, si contorcerà per sfuggire al tuo attacco.",Veleno,Prepotenza,Agitazione,Secco,2.0,6.9,Snake,Campo,Draco,35,60,44,40,54,55,pokemon_23.png
24,24,Arbok,1,"Per proteggere il suo nido, uscirà furioso e attaccherà il nemico senza paura.",Veleno,Prepotenza,Agitazione,Secco,3.5,65.0,Snake,Campo,Draco,60,85,69,65,79,80,pokemon_24.png
25,25,Pikachu,1,"Quando diversi Pikachu si riuniscono, possono generare sufficiente elettricità per causare una tempesta.",Elettro,,Statico,Parafulmine,0.4,6.0,Topo,Campo,Fata,35,55,40,50,50,90,pokemon_25.png
26,26,Raichu,1,"Ha una speciale tasca elettrica sul petto che produce elettricità. Se diventa completamente carico, il suo volto inizierà a brillare.",Elettro,,Statico,Parafulmine,0.8,30.0,Topo,Campo,Fata,60,90,55,90,80,110,pokemon_26.png
27,27,Sandshrew,1,"Le sue pinne laterali gli permettono di muoversi rapidamente nella sabbia. Sono anche utilizzati per la difesa.",Terra,,Sabbiavelo,Remasabbia,0.6,12.0,Topo,Campo,Uova,50,75,85,20,30,40,pokemon_27.png
28,28,Sandslash,1,"Ha un gran numero di spine sulla schiena. Gli estrae per lanciarli a nemici che si avvicinano.",Terra,,Sabbiavelo,Remasabbia,1.0,29.5,Topo,Campo,Uova,75,100,110,45,55,65,pokemon_28.png
29,29,Nidoran♀,1,"Anche se sono piccoli, i suoi artigli velenosi sono molto potenti. È noto per essere uno dei Pokémon più velenosi.",Veleno,,Velenopunto,Tuttafretta,0.4,7.0,Piccolo Veleno,Campo,Mostro,55,47,52,40,40,41,pokemon_29.png
30,30,Nidorina,1,"Si esercita per potenziare i suoi muscoli. È abbastanza potente da sollevare un elefante.",Veleno,,Velenopunto,Tuttafretta,0.8,20.0,Velenosetta,Campo,Mostro,70,62,67,55,55,56,pokemon_30.png
31,31,Nidoqueen,1,"Non teme di affrontare anche il Pokémon più potente. Si sente molto più sicuro quando ha un guscio di roccia.",Veleno,Terra,Velenopunto,Forzabruta,1.3,60.0,Boa,Campo,Mostro,90,92,87,75,85,76,pokemon_31.png
32,32,Nidoran♂,1,"Avverte un senso di pericolo quando sente un odore sgradevole intorno a lui. La sua coda emette un odore strano per tenere lontani i nemici.",Veleno,,Velenopunto,Tuttafretta,0.5,9.0,Piccolo Veleno,Campo,Mostro,46,57,40,40,40,50,pokemon_32.png
33,33,Nidorino,1,"Difende il suo territorio dagli invasori con una forza sorprendente. Le sue corna sono affilate come lame.",Veleno,,Velenopunto,Tuttafretta,0.9,19.5,Velenosetta,Campo,Mostro,61,72,57,55,55,65,pokemon_33.png
34,34,Nidoking,1,"Lancia un veleno incredibilmente potente da quelle piccole aperture sui suoi arti. Gli permette di difendersi molto bene.",Veleno,Terra,Velentopunto,Forzabruta,1.4,62.0,Boa,Campo,Mostro,81,102,77,85,75,85,pokemon_34.png
35,35,Clefairy,1,"È noto che venga attratto dalla luna splendente. Si può vedere ballare e saltare sulla luna piena tutto il giorno.",Fata,Incantevole,Amicoscudo,Muta,0.6,7.5,Fata,Uovo,Fata,70,45,48,60,65,35,pokemon_35.png
36,36,Clefable,1,"La sua pelliccia soffice e delicata si gonfia quando sente felicità. Il fiocco sull'orecchio può percepire i sentimenti del suo allenatore.",Fata,Incantevole,Imprudenza,Muta,1.3,40.0,Fata,Uovo,Fata,95,70,73,95,90,60,pokemon_36.png
37,37,Vulpix,1,"A seconda delle circostanze, è noto per trasformarsi in varie forme. Molto diffuso nei luoghi montani.",Fuoco,,Fuocardore,Siccità,0.6,9.9,Volpe,Campo,Volpe,38,41,40,50,65,65,pokemon_37.png
38,38,Ninetales,1,"Le nove code di Ninetales sono riempite di energia spirituale che permettono a chi le tocca di vedere il futuro.",Fuoco,,Fuocardore,Siccità,1.1,19.9,Volpe,Campo,Volpe,73,76,75,81,100,100,pokemon_38.png
39,39,Jigglypuff,1,"Quando canta, si avvolge con l'atmosfera di sonno che emette per addormentare il nemico.",Normale,Fata,Incantevole,Amicoscudo,0.5,5.5,Palla,Campo,Fata,115,45,20,45,25,20,pokemon_39.png
40,40,Wigglytuff,1,"Ha una voce dolce, ma molto potente. Riesce a calmare anche i Pokémon più aggressivi.",Normale,Fata,Incantevole,Indagine,1.0,12.0,Palla,Campo,Fata,140,70,45,85,50,45,pokemon_40.png
41,41,Zubat,1,"Assolutamente notturno, esce fuori al crepuscolo per cibarsi di sanguisughe che vivono nei cespugli.",Veleno,Volante,Fuocodentro,Intrapasso,0.8,7.5,Pipistrello,Volante,Mostro,40,45,35,30,40,55,pokemon_41.png
42,42,Golbat,1,"Volando molto rapidamente, evita gli ostacoli senza difficoltà. Si alimenta di sangue di altri Pokémon.",Veleno,Volante,Fuocodentro,Intrapasso,1.6,55.0,Pipistrello,Volante,Mostro,75,80,70,65,75,90,pokemon_42.png
43,43,Oddish,1,"Se respiri un dolce profumo intorno, Oddish si stà probabilmente avvicinando. Possono essere trovati in luoghi ricchi di umidità.",Erba,Veleno,Clorofilla,Fugafacile,0.5,5.4,Erba,Mostro,Erba,45,50,55,75,65,30,pokemon_43.png
44,44,Gloom,1,"Esce di notte per annusare il terreno umido. L'odore pungente che si diffonde dal suo corpo fa fuggire le persone.",Erba,Veleno,Clorofilla,Fugafacile,0.8,8.6,Erba,Mostro,Erba,60,65,70,85,75,40,pokemon_44.png
45,45,Vileplume,1,"Molto diffuso nei luoghi con aria pulita. Il fiore sul suo corpo rilascia un aroma che rende le persone di buon umore.",Erba,Veleno,Clorofilla,Spargispora,1.2,18.6,Fiori,Mostro,Erba,75,80,85,110,90,50,pokemon_45.png
46,46,Paras,1,"Attacca con artigli affilati sulle sue zampe anteriori. Può iniettare veleno attraverso i suoi artigli.",Coleottero,Erba,Spargispora,Umidità,0.3,5.4,Fungo,Insetto,Erba,35,70,55,45,55,25,pokemon_46.png
47,47,Parasect,1,"Sotto il fungo sul suo dorso, il suo corpo è morbido e bianco. Se il fungo cresce troppo, può indebolirsi.",Coleottero,Erba,Spargispora,Umidità,1.0,29.5,Fungo,Insetto,Erba,60,95,80,60,80,30,pokemon_47.png
48,48,Venonat,1,"Vive in foreste buie e umide. Ha un veleno molto potente in piccole quantità.",Coleottero,Veleno,Insettocchi,Fugafacile,1.0,30.0,Insetto,Insetto,Non indicato,60,55,50,40,55,45,pokemon_48.png
49,49,Venomoth,1,"Quando emette polvere velenosa dai suoi occhi, il nemico perde la vista per un breve momento.",Coleottero,Veleno,Polvoscudo,Splendicute,1.5,12.5,Farfalla,Insetto,Non indicato,70,65,60,90,75,90,pokemon_49.png
50,50,Diglett,1,"Vive quasi interamente sottoterra. Solleva solo il naso per respirare e sentirsi in giro.",Terra,,Sabbiavelo,Silicoforza,0.2,0.8,Talpa,Campo,Uova,10,55,25,35,45,95,pokemon_50.png
51,51,Dugtrio,1,"Può saltare molto velocemente. I suoi tre capelli possono vibrare in un'unica direzione per formulare una trivella.",Terra,,Sabbiavelo,Silicoforza,0.7,33.3,Talpa,Campo,Uova,35,80,50,50,70,120,pokemon_51.png
52,52,Meowth,1,"È molto orgoglioso del suo nastro rosso. Il suo atteggiamento coraggioso può diventare piuttosto aggressivo.",Normale,,Raccolta,Agitazione,0.4,4.2,Gatto,Campo,Uova,40,45,35,40,40,90,pokemon_52.png
53,53,Persian,1,"Cammina silenziosamente e agisce con estrema grazia. Si dice che il suo movimento è molto simile a quello di una danza.",Normale,,Scioltezza,Agitazione,1.0,32.0,Gatto,Campo,Uova,65,70,60,65,65,115,pokemon_53.png
54,54,Psyduck,1,"Ha forti mal di testa che causano perdita di memoria. In tali momenti, diventa molto più forte e pericoloso.",Acqua,,Umidità,Nuotovelox,0.8,19.6,Pato,Campo,Acqua1,50,52,48,65,50,55,pokemon_54.png
55,55,Golduck,1,"La sua forza nel nuoto è davvero incredibile. Può facilmente nuotare nell'oceano, persino nell'oceano in burrasca.",Acqua,,Umidità,Nuotovelox,1.7,76.6,Pato,Campo,Acqua1,80,82,78,95,80,85,pokemon_55.png
56,56,Mankey,1,"Un Pokémon molto violento e irascibile. Quando si arrabbia, non può essere calmato.",Lotta,,Spiritovivo,Agonismo,0.5,28.0,Scimmia,Uovo,Uova,40,80,35,35,45,70,pokemon_56.png
57,57,Primeape,1,"Raggiunge la sua forma finale quando il rabbioso Mankey evolve in Primeape. Sia in grado di volare nel furioso caos.",Lotta,,Spiritovivo,Agonismo,1.0,32.0,Scimmione,Uovo,Uova,65,105,60,60,70,95,pokemon_57.png
58,58,Growlithe,1,"Spirito molto fedele e coraggioso. È amichevole con le persone e si è comportato come un cane da guardia per molto tempo.",Fuoco,,Prepotenza,Giustizia,0.7,19.0,Cucciolo,Campo,Cane,55,70,45,70,50,60,pokemon_58.png
59,59,Arcanine,1,"Le sue alte prestazioni nel lancio della fiamma gli hanno guadagnato la fama di leggendario guerriero.",Fuoco,,Prepotenza,Giustizia,1.9,155.0,Leggendario,Campo,Cane,90,110,80,100,80,95,pokemon_59.png
60,60,Poliwag,1,"La sua pelle è molto liscia. Si trova spesso galleggiante sulla superficie dell'acqua, cercando cibo.",Acqua,,Assorbacqua,Umidità,0.6,12.4,Tadpole,Acqua1,Acqua1,40,50,40,40,40,90,pokemon_60.png
61,61,Poliwhirl,1,"La sfera sul suo ventre è morbida al tatto. Se la pressioni, puoi sentire il battito del suo cuore.",Acqua,,Assorbacqua,Umidità,1.0,20.0,Tadpole,Acqua1,Acqua1,65,65,65,50,50,90,pokemon_61.png
62,62,Poliwrath,1,"La sua forza è superiore a quella dei combattenti più forti. Tuttavia, è sempre gentile con le persone deboli.",Acqua,Lotta,Assorbacqua,Umidità,1.3,54.0,Polpo,Acqua1,Uova,90,85,95,70,90,70,pokemon_62.png
63,63,Abra,1,"Può usare lo stesso tipo di attacco solo una volta. Il suo corpo è completamente indifferente agli effetti della gravità.",Psico,,Sincronismo,Agitazione,0.9,19.5,Psichico,Uovo,Uovo,25,20,15,105,55,90,pokemon_63.png
64,64,Kadabra,1,"Emette onde alpha che danneggiano il cervello e causano forti mal di testa. Potrebbe anche indurre una crisi epilettica.",Psico,,Sincronismo,Agitazione,1.3,56.5,Psichico,Uovo,Uovo,40,35,30,120,70,105,pokemon_64.png
65,65,Alakazam,1,"Si dice che possa fare crescere cucchiai. Mangiare cibo con queste posate aumenta i poteri psichici.",Psico,,Sincronismo,Agitazione,1.5,48.0,Psichico,Uovo,Uovo,55,50,45,135,95,120,pokemon_65.png
66,66,Machop,1,"Gli piace allenarsi intensamente e può sollevare pesi di oltre 1000 libbre al giorno.",Lotta,,Dentristretti,Cuordeciso,0.8,19.5,Schiacciasassi,Uovo,Uova,70,80,50,35,35,35,pokemon_66.png
67,67,Machoke,1,"I suoi muscoli si gonfiano sempre più quando si allena. Gli piace mostrare la sua forza a tutti.",Lotta,,Dentristretti,Cuordeciso,1.5,70.5,Lottatore,Uovo,Uova,80,100,70,50,60,45,pokemon_67.png
68,68,Machamp,1,"Usa le braccia per sollevare cose pesanti e rocciose, quindi usa il suo corpo per colpire il nemico.",Lotta,,Dentristretti,Cuordeciso,1.6,130.0,Uomo,Fair,Uova,90,130,80,65,85,55,pokemon_68.png
69,69,Bellsprout,1,"Afferra e digerisce persino insetti velenosi usando i suoi tre corpi. Il suo corpo è pieno di acido.",Erba,Veleno,Clorofilla,Voracità,0.7,4.0,Fiori,Erba,Non indicato,50,75,35,70,30,40,pokemon_69.png
70,70,Weepinbell,1,"Assorbe i nutrienti dal suolo. Le sue radici possono espandersi 1.000 piedi in un giorno.",Erba,Veleno,Clorofilla,Voracità,1.0,6.4,Campana,Erba,Non indicato,65,90,50,85,45,55,pokemon_70.png
71,71,Victreebel,1,"Attrae la preda con un dolce profumo del nettare segreto da dentro il suo fiore. Poi attacca con le sue potenti mandibole.",Erba,Veleno,Clorofilla,Voracità,1.7,15.5,Campana,Erba,Non indicato,80,105,65,100,70,70,pokemon_71.png
72,72,Tentacool,1,"Rilascia veleno dai suoi filamenti sottili per difendersi dagli attacchi. Si muove nuotando con un moto oscillante.",Acqua,Veleno,Corpochiaro,Copripioggia,0.9,45.5,Tentacolo,Acqua3,Acqua3,40,40,35,50,100,70,pokemon_72.png
73,73,Tentacruel,1,"Le lunghe braccia possono estendersi fino a molte volte la sua altezza. Afferra la sua preda e la stritola.",Acqua,Veleno,Corpochiaro,Copripioggia,1.6,55.0,Tentacolo,Acqua3,Acqua3,80,70,65,80,120,100,pokemon_73.png
74,74,Geodude,1,"Se il corpo si rompe, la sua pietra si ricostruirà rapidamente. Tuttavia, il cervello è fatto di un materiale che non crescerà di nuovo.",Roccia,Terra,Vigore,Sabbiavelo,0.4,20.0,Roccia,Roccia,Uova,40,80,100,30,30,20,pokemon_74.png
75,75,Graveler,1,"Raccoglie e mangia rocce. Le particelle minerali contenute nelle rocce sono trasformate in energia vitale per il suo corpo.",Roccia,Terra,Vigore,Sabbiavelo,1.0,105.0,Roccia,Roccia,Uova,55,95,115,45,45,35,pokemon_75.png
76,76,Golem,1,"Un Pokèmon molto aggressivo. Usa tutti i suoi muscoli per lanciare pietre pesanti a nemici.",Roccia,Terra,Sconfinatezza,Vigore,1.4,300.0,Roccia,Roccia,Uova,80,120,130,55,65,45,pokemon_76.png
77,77,Ponyta,1,"Sulla sua criniera, porta una fiamma che brucia intensamente. Viene usato come segno di forza nelle gare.",Fuoco,,Fugafacile,Corpodifuoco,1.0,30.0,Cavallo,Campo,Uova,50,85,55,65,65,90,pokemon_77.png
78,78,Rapidash,1,"Sa saltare ostacoli in modo dinamico. La sua scia di fuoco è un bello spettacolo che può essere visto nel buio.",Fuoco,,Fugafacile,Corpodifuoco,1.7,95.0,Cavallo,Campo,Uova,65,100,70,80,80,105,pokemon_78.png
79,79,Slowpoke,1,"È molto lento e pigro. Se vede qualcosa che lo spaventa, si immerge in acqua e inizia a galleggiare lentamente.",Acqua,Psico,Indifferenza,Muta,1.2,36.0,Mollusco,Uovo,Mostro,90,65,65,40,40,15,pokemon_79.png
80,80,Slowbro,1,"È diventato pigro dopo la fusione con Shellder. Per questo, si accorge di poco del dolore.",Acqua,Psico,Indifferenza,Muta,1.6,78.5,Evoluzione,Uovo,Mostro,95,75,110,100,80,30,pokemon_80.png
81,81,Magnemite,1,"È stato creato artificialmente. Ha l'abilità di generare elettricità, ma è anche vulnerabile ai guasti.",Elettro,Acciaio,Magnetismo,Ponderazione,0.3,6.0,Magnete,Minerale,Non indicato,25,35,70,95,55,45,pokemon_81.png
82,82,Magneton,1,"È formato da tre Magnemite. La forza magnetica tra di loro tiene uniti questi Pokémon.",Elettro,Acciaio,Magnetismo,Ponderazione,1.0,60.0,Magnete,Minerale,Non indicato,50,60,95,120,70,70,pokemon_82.png
83,83,Farfetch'd,1,"È stato addestrato a brandire un bastone di cipolla. Il suo colpo critico è molto potente.",Normale,Volante,Sguardofermo,Agonismo,0.8,15.0,Anatra,Uccello,Campo,52,65,55,58,62,60,pokemon_83.png
84,84,Doduo,1,"Può correre a oltre 60 miglia all'ora. La velocità lo rende un avversario difficile da catturare.",Normale,Volante,Fugafacile,Intricopiedi,1.4,39.2,Biuccello,Uccello,Campo,35,85,45,35,35,75,pokemon_84.png
85,85,Dodrio,1,"Ha tre teste e possiede abilità di volo. Due teste dormono mentre la terza sta sveglia.",Normale,Volante,Fugafacile,Intricopiedi,1.8,85.2,Triuccello,Uccello,Campo,60,110,70,60,60,100,pokemon_85.png
86,86,Seel,1,"La sua pelle è protetta da uno strato di grasso. Rende Seel molto agile nell'acqua, ma anche un po' lento sulla terraferma.",Acqua,,Grassospesso,Corpogelo,1.1,90.0,Otaria,Acqua1,Campo,65,45,55,45,70,45,pokemon_86.png
87,87,Dewgong,1,"Vive su montagne innevate. Ha una pelle spessa e grassa che lo protegge dal freddo e dallo scongelamento.",Acqua,Ghiaccio,Grassospesso,Corpogelo,1.7,120.0,Otaria,Acqua1,Campo,90,70,80,70,95,70,pokemon_87.png
88,88,Grimer,1,"Mangia spazzatura che trova in discariche e fognature. Puzza in modo tale da far girare la testa.",Veleno,,Tanfo,Velentocco,0.9,30.0,Melma,Amorfo,Non indicato,80,80,50,40,50,25,pokemon_88.png
89,89,Muk,1,"Il veleno che scorre attraverso il corpo di Muk causa inquinamento e malattie. Il terreno intorno al suo corpo è sempre pieno di veleno.",Veleno,,Tanfo,Velentocco,1.2,30.0,Melma,Amorfo,Non indicato,105,105,75,65,100,50,pokemon_89.png
90,90,Shellder,1,"Molto territoriale, usa la sua conchiglia dura per proteggersi dagli attacchi esterni.",Acqua,,Guscioscudo,Copricapo,0.3,4.0,Muscoli,Valva,Uova,30,65,100,45,25,40,pokemon_90.png
91,91,Cloyster,1,"Il suo guscio è molto resistente e non può essere forato. Attacca sparando ghiaccioli da dentro.",Acqua,Ghiaccio,Guscioscudo,Copricapo,1.5,132.5,Guscio,Mollusco,Uova,50,95,180,85,45,70,pokemon_91.png
92,92,Gastly,1,"Rilascia un veleno molto potente quando si sente minacciato. L'odore rende gli avversari pietrificati.",Spettro,Veleno,Levitazione,Nessuna,1.3,0.1,Gas,Ballo,Uova,30,35,30,100,35,80,pokemon_92.png
93,93,Haunter,1,"Ha una lunghezza di circa 1 metro. Si nasconde negli angoli per tendere imboscate ai viandanti.",Spettro,Veleno,Levitazione,Nessuna,1.6,0.1,Gas,Ballo,Uova,45,50,45,115,55,95,pokemon_93.png
94,94,Gengar,1,"Appare improvvisamente in cimiteri scuri e case abbandonate, cercando le anime delle persone e dei Pokémon.",Spettro,Veleno,Levitazione,Nessuna,1.5,40.5,Ombra,Ballo,Uova,60,65,60,130,75,110,pokemon_94.png
95,95,Onix,1,"Gli Onix vivono sottoterra, dove scavano tunnel che si estendono per più di 10 km di lunghezza.",Roccia,Terra,Vigore,Sottilguscio,8.8,210.0,Serpente,Roccia,Uova,35,45,160,30,45,70,pokemon_95.png
96,96,Drowzee,1,"Si nutre di sogni dei bambini. Tira fuori il cucchiaio per cercare di catturare i sogni evanescenti dei bambini.",Psico,,Insonnia,Fuocodentro,1.0,32.4,Ipnotista,Uovo,Uova,60,48,45,43,90,42,pokemon_96.png
97,97,Hypno,1,"La sua oscillazione crea una spinta invisibile che induce il sonno nei bambini e negli adulti.",Psico,,Insonnia,Fuocodentro,1.6,75.6,Ipnotista,Uovo,Uova,85,73,70,73,115,67,pokemon_97.png
98,98,Krabby,1,"La sua grande pinza è molto potente. Scolpisci anche le dure rocce con esse per catturare prede.",Acqua,,Ipertaglio,Forzabruta,0.4,6.5,Cancro,Acqua3,Uova,30,105,90,25,25,50,pokemon_98.png
99,99,Kingler,1,"Ha una pinza super potente. Una volta afferrato qualcosa, non lascerà mai andare.",Acqua,,Ipertaglio,Forzabruta,1.3,60.0,Garanzia,Acqua3,Uova,55,130,115,50,50,75,pokemon_99.png
100,100,Voltorb,1,"Mimic incredibilmente simile a una Poké Ball. Scoppia quando viene disturbato o lanciato.",Elettro,,Antisuono,Scoppio,0.5,10.4,Palla,Lucentezza,Non indicato,40,30,50,55,55,100,pokemon_100.png
101,101,Electrode,1,"Rotola sul terreno per caricare l'elettricità. Quindi esploderà senza alcun preavviso.",Elettro,,Antisuono,Scoppio,1.2,66.6,Palla,Lucentezza,Non indicato,60,50,70,80,80,140,pokemon_101.png
102,102,Exeggcute,1,"A causa della grande testa, il suo corpo è molto piccolo. Tuttavia, contiene sei uova che si sviluppano insieme.",Erba,Psico,Clorofilla,Coglibacche,0.4,2.5,Uova,Erba,Non indicato,60,40,80,60,45,40,pokemon_102.png
103,103,Exeggutor,1,"Il suo corpo può produrre frutta gustosa, anche se non viene nutrita correttamente. Mangia solo la frutta dell'Alola.",Erba,Psico,Clorofilla,Coglibacche,2.0,120.0,Palma,Erba,Non indicato,95,95,85,125,75,55,pokemon_103.png
104,104,Cubone,1,"Indossa un teschio di sua madre sulla testa. La tragedia di Cubone non è mai finita.",Terra,,Testadura,Lottascudo,0.4,6.5,Orfanello,Mammifero,Uova,50,50,95,40,50,35,pokemon_104.png
105,105,Marowak,1,"Si dice che abbia perso la sua madre a un giovane e che ora porti il suo cranio in giro.",Terra,,Testadura,Lottascudo,1.0,45.0,Orfanello,Mammifero,Uova,60,80,110,50,80,45,pokemon_105.png
106,106,Hitmonlee,1,"Ha la capacità di spaccare un nocciolo con un colpo di piede rotante ad alta velocità.",Lotta,,Scioltezza,Agiltecnica,1.5,49.8,Piedelong,Roccia,Uova,50,120,53,35,110,87,pokemon_106.png
107,107,Hitmonchan,1,"Muove i pugni a velocità incredibile, lanciando pugni veloci in meno di 0,1 secondi.",Lotta,,Sguardofermo,Fuocodentro,1.4,50.2,Pugnabasso,Roccia,Uova,50,105,79,35,110,76,pokemon_107.png
108,108,Lickitung,1,"Può manipolare la sua lingua lunga quasi quanto vuole. La sua saliva contiene sostanze chimiche che inducono il sonno.",Normale,,Mente Locale,Antimeteo,1.2,65.5,Lingua,Normale,Uova,90,55,75,60,75,30,pokemon_108.png
109,109,Koffing,1,"Rilascia gas velenosi che possono fare girare la testa se respirati in eccesso. Agisce come un trivellatore gassoso.",Veleno,,Levitazione,Tanfo,0.6,1.0,Palla,Tossico,Uova,40,65,95,60,45,35,pokemon_109.png
110,110,Weezing,1,"Rilascia gas velenosi da tutti i pori. I gas avvelenati si mescolano con l'aria, diventando impossibili da separare.",Veleno,,Levitazione,Tanfo,1.2,9.5,Palla,Tossico,Uova,65,90,120,85,70,60,pokemon_110.png
111,111,Rhyhorn,1,"Un incrocio tra Rhydon e Kangaskhan. È molto aggressivo, tende ad attaccare con testate violente.",Terra,Roccia,Parafulmine,Temerarietà,1.0,115.0,Spinale,Mostro,Non indicato,80,85,95,30,30,25,pokemon_111.png
